lambda_um	epsilon	I_BB
10.27843	93.75171	148693935.01418042
10.26825	93.70033	149222274.94544777
10.25809	93.69102	149751905.48564595
10.24796	93.72714	150282300.36897054
10.23784	93.79438	150814505.19827214
10.22774	93.86579	151347995.92442933
10.21767	93.91187	151882239.19880375
10.20761	93.91206	152418294.37600625
10.19757	93.8627	152955630.34525672
10.18756	93.77858	153493706.6050979
10.17756	93.68769	154033596.39539593
10.16758	93.62208	154574761.4737457
10.15762	93.60874	155117199.91817912
10.14768	93.66404	155660909.76142356
10.13776	93.7929	156205888.9906659
10.12786	93.99184	156752135.54731736
10.11798	94.25342	157299647.32677698
10.10812	94.56899	157848422.1781985
10.09828	94.92859	158398457.90425554
10.08845	95.24129	158950314.87469754
10.07865	95.36431	159502868.0024347
10.06887	95.49532	160056675.13916028
10.0591	95.62952	160612303.8326257
10.04935	95.75638	161169186.6270001
10.03962	95.86357	161727321.06383243
10.02991	95.94069	162286704.6365625
10.02022	95.98107	162847334.79029164
10.01055	95.98144	163409208.9215543
10.0009	95.94087	163972324.37809113
9.99127	95.86055	164536678.4586212
9.98164	95.74531	165103448.01568976
9.97205	95.60602	165670276.07711485
9.96247	95.42004	166238929.2243508
9.95291	95.2443	166808814.7775333
9.94336	95.11942	167380529.73608765
9.93384	95.05916	167952873.81902823
9.92434	95.07457	168526441.38252842
9.91485	95.17067	169101836.94886556
9.90538	95.34392	169678454.93419287
9.89592	95.58146	170256904.941536
9.88649	95.86209	170835960.82731333
9.87708	96.15862	171416229.5086577
9.86768	96.35547	171998328.2293193
9.8583	96.4863	172581638.29385713
9.84894	96.57554	173166156.30637762
9.83959	96.61587	173752507.24807993
9.83027	96.6006	174339433.39633965
9.82095	96.52764	174928824.43134373
9.81167	96.40337	175518147.18080947
9.80239	96.24365	176109938.20234892
9.79314	96.04205	176702284.678128
9.78389	95.81349	177297108.02241364
9.77467	95.63477	177892479.3194502
9.76547	95.51596	178489036.44969833
9.75629	95.4551	179086775.52640787
9.74712	95.44293	179686347.80599746
9.73796	95.46859	180287757.45773935
9.72883	95.48815	180889687.33613673
9.71971	95.51799	181493451.9496131
9.71061	95.59941	182098389.25749797
9.70152	95.736	182705163.98363551
9.69246	95.81502	183312436.8655915
9.68341	95.8174	183921544.19280118
9.67438	95.75529	184531812.74766108
9.66536	95.63065	185143918.15757754
9.65636	95.46563	185757181.57847765
9.64738	95.29828	186371598.54198518
9.63841	95.17089	186987852.94740173
9.62947	95.11539	187604566.1823219
9.62053	95.14185	188223807.37504733
9.61161	95.23538	188844195.02458295
9.60272	95.3628	189465024.64665762
9.59384	95.48671	190087688.15750292
9.58496	95.58062	190712894.79518187
9.57611	95.6389	191338531.8073336
9.56728	95.67705	191965296.89814997
9.55847	95.72225	192593185.0837813
9.54966	95.79861	193223625.41322502
9.54087	95.9139	193855190.32350075
9.53211	96.05407	194487151.81877506
9.52336	96.19836	195120947.55039337
9.51461	96.2422	195757309.79922748
9.50589	96.22577	196394055.87720737
9.49719	96.15736	197031906.25121608
9.4885	96.06749	197671593.12256745
9.47983	95.99901	198312379.36966553
9.47117	95.99216	198955003.04420054
9.46253	96.06991	199598721.01011315
9.4539	96.16973	200244277.20499495
9.4453	96.24942	200890169.898905
9.4367	96.3458	201538651.01847285
9.42812	96.42277	202188215.7546053
9.41956	96.44881	202838858.30466425
9.41101	96.40477	203491337.45768976
9.40247	96.28734	204145656.43533266
9.39396	96.10877	204800276.91073635
9.38546	95.89403	205456731.34253183
9.37698	95.67626	206114245.94986993
9.36851	95.49095	206773594.59031838
9.36004	95.36992	207435563.4391225
9.35161	95.33569	208097020.08251306
9.34318	95.39778	208761096.83238697
9.33478	95.37008	209425428.7414195
9.32637	95.41166	210093182.28732175
9.318	95.537	210760385.71464035
9.30963	95.73215	211430221.08334452
9.30129	95.97033	212100285.70432067
